episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/grad_wait_time_ms,timers/apply_grad_time_ms,timers/apply_grad_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/allreduce_latency,info/learner/grad_gnorm,info/learner/policy_entropy,info/learner/policy_loss,info/learner/vf_loss
nan,nan,nan,nan,0,1,30,0,False,0,1,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-27,1636786167,0.4271659851074219,0.4271659851074219,16491,werikcyano,192.168.1.8,0.4271659851074219,0,1,d0fac_00000,[],[],301.998,107.326,279.522,13.458,30,30,50.9,50.7,0.0,319.01642,0.010005640797317028,1.4054924249649048,0.3979718089103699
0.0,0.0,0.0,528.3333333333334,3,1,990,0,False,3,2,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-33,1636786173,5.275585412979126,5.702751398086548,16491,werikcyano,192.168.1.8,5.702751398086548,0,2,d0fac_00000,"[0.0, 0.0, 0.0]","[533, 517, 535]",143.2,4.971,6035.23,14.025,990,990,61.212500000000006,51.3125,0.0,410.11557,2.7625197925699444e-41,-0.0,1.9037319421768188
9.0,0.0,1.8,745.2,7,1,1920,0,False,10,3,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-38,1636786178,5.071598768234253,10.7743501663208,16491,werikcyano,192.168.1.8,10.7743501663208,0,3,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525]",142.005,4.999,6001.179,10.82,1920,1920,58.0,51.39999999999999,0.0,81.41602,3.6098452891746516e-36,-0.0,0.010963340289890766
9.0,0.0,1.5,708.5833333333334,2,1,2760,0,False,12,4,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-43,1636786183,5.000007152557373,15.774357318878174,16491,werikcyano,192.168.1.8,15.774357318878174,0,4,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519]",158.103,8.23,3645.161,16.257,2760,2760,69.44285714285715,51.442857142857136,0.0,12.050175,3.509442255800054e-27,-0.0,0.00047208191244862974
9.0,0.0,2.5714285714285716,840.5,2,1,3660,0,False,14,5,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-48,1636786188,4.935734033584595,20.71009135246277,16491,werikcyano,192.168.1.8,20.71009135246277,0,5,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636]",138.707,4.84,6197.807,11.141,3660,3660,63.72857142857142,51.38571428571428,0.0,8.136212,1.2350006971306893e-24,-0.0,0.0002799634821712971
9.0,0.0,3.0,892.9047619047619,7,1,4650,0,False,21,6,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-53,1636786193,5.075601100921631,25.7856924533844,16491,werikcyano,192.168.1.8,25.7856924533844,0,6,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523]",139.857,4.584,6544.976,8.426,4650,4650,52.142857142857146,51.457142857142856,0.0,8.99184,3.1005866440960585e-18,-0.0,0.0005924541619606316
9.0,0.0,2.88,878.4,4,1,5670,0,False,25,7,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-49-58,1636786198,5.063948631286621,30.84964108467102,16491,werikcyano,192.168.1.8,30.84964108467102,0,7,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537]",133.938,5.116,5864.136,9.477,5670,5670,50.849999999999994,51.412499999999994,0.0,6.709,7.843603696232326e-14,-0.0,0.0005706869415007532
9.0,0.0,3.103448275862069,905.8620689655172,4,1,6660,0,False,29,8,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-03,1636786203,5.070648670196533,35.920289754867554,16491,werikcyano,192.168.1.8,35.920289754867554,0,8,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515]",135.515,5.008,5990.18,8.718,6660,6660,53.6,51.44285714285714,0.0,221.90425,3.4117125791155445e-11,-0.0,2.7527620792388916
9.0,0.0,3.085714285714286,903.8,6,1,7650,0,False,35,9,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-08,1636786208,5.091526031494141,41.011815786361694,16491,werikcyano,192.168.1.8,41.011815786361694,0,9,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520]",145.689,6.113,4907.934,11.149,7650,7650,54.55714285714286,51.42857142857143,0.0,12.671113,8.301067566662823e-08,-0.0,0.007972775027155876
9.0,0.0,2.925,884.725,5,1,8640,0,False,40,10,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-13,1636786213,5.0623064041137695,46.074122190475464,16491,werikcyano,192.168.1.8,46.074122190475464,0,10,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533]",135.413,4.818,6226.606,9.376,8640,8640,54.225,51.45,0.0,3.1045063,1.0902099347731564e-05,-0.0,0.0009739513043314219
