episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/policy_loss
31.0,11.0,21.5,21.5,8,0,200,200,False,8,1,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-36,1636782396,0.25191688537597656,0.25191688537597656,10614,werikcyano,192.168.1.8,0.25191688537597656,0,1,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0]","[21, 11, 31, 16, 25, 23, 22, 23]",0.08784004704869208,0.9479439673732168,0.05256002815208624,0.08510950192883239,0.0,238.501,838.571,12.945,15450.056,200,200,200,50.6,27.4,0.0,7.908602237701416
46.0,11.0,23.058823529411764,23.058823529411764,9,0,400,400,False,17,2,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-36,1636782396,0.2355022430419922,0.48741912841796875,10614,werikcyano,192.168.1.8,0.48741912841796875,0,2,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43]",0.08658111338898807,0.9413373100842224,0.05230174688257858,0.08458981364305215,0.0,233.927,854.966,9.226,21678.51,400,400,400,,,0.0,9.284370422363281
53.0,11.0,23.666666666666668,23.666666666666668,7,0,600,600,False,24,3,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-37,1636782397,0.27996349334716797,0.7673826217651367,10614,werikcyano,192.168.1.8,0.7673826217651367,0,3,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13]",0.08676095915704918,0.9574310578530264,0.05318214391911367,0.08595883247361773,0.0,247.797,807.113,7.481,26736.031,600,600,600,50.9,27.4,0.0,10.204699516296387
53.0,11.0,26.266666666666666,26.266666666666666,6,0,800,800,False,30,4,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-37,1636782397,0.23668336868286133,1.004065990447998,10614,werikcyano,192.168.1.8,1.004065990447998,0,4,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19]",0.08658937086732425,0.9623159723978179,0.05349677755086278,0.08640349250689144,0.0,244.018,819.612,6.497,30782.471,800,800,800,,,0.0,11.888747215270996
67.0,11.0,25.86842105263158,25.86842105263158,8,0,1000,1000,False,38,5,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-37,1636782397,0.2388601303100586,1.2429261207580566,10614,werikcyano,192.168.1.8,1.2429261207580566,0,5,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67]",0.08637444054948566,0.9644647618419825,0.05365587554776298,0.08660983612146271,0.0,241.677,827.55,6.346,31517.873,1000,1000,1000,,,0.0,10.37730598449707
67.0,11.0,25.717391304347824,25.717391304347824,8,0,1200,1200,False,46,6,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-37,1636782397,0.28212499618530273,1.5250511169433594,10614,werikcyano,192.168.1.8,1.5250511169433594,0,6,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0, 23.0, 19.0, 51.0, 13.0, 14.0, 18.0, 14.0, 48.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67, 23, 19, 51, 13, 14, 18, 14, 48]",0.08648156795773684,0.9701108414839995,0.05393103997978889,0.0869761133986791,0.0,247.251,808.893,6.303,31728.759,1200,1200,1200,44.6,27.4,0.0,9.985699653625488
67.0,11.0,25.036363636363635,25.036363636363635,9,0,1400,1400,False,55,7,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-38,1636782398,0.24262595176696777,1.7676770687103271,10614,werikcyano,192.168.1.8,1.7676770687103271,0,7,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0, 23.0, 19.0, 51.0, 13.0, 14.0, 18.0, 14.0, 48.0, 18.0, 34.0, 15.0, 17.0, 25.0, 25.0, 16.0, 31.0, 13.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67, 23, 19, 51, 13, 14, 18, 14, 48, 18, 34, 15, 17, 25, 25, 16, 31, 13]",0.08655214085141577,0.9736982135039569,0.054074462871633616,0.08715016493764334,0.0,245.984,813.06,5.935,33699.629,1400,1400,1400,,,0.0,7.867287635803223
67.0,11.0,26.233333333333334,26.233333333333334,5,0,1600,1600,False,60,8,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-38,1636782398,0.23316073417663574,2.000837802886963,10614,werikcyano,192.168.1.8,2.000837802886963,0,8,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0, 23.0, 19.0, 51.0, 13.0, 14.0, 18.0, 14.0, 48.0, 18.0, 34.0, 15.0, 17.0, 25.0, 25.0, 16.0, 31.0, 13.0, 33.0, 38.0, 45.0, 63.0, 18.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67, 23, 19, 51, 13, 14, 18, 14, 48, 18, 34, 15, 17, 25, 25, 16, 31, 13, 33, 38, 45, 63, 18]",0.08646868924924782,0.9744561457571502,0.054092626190091024,0.0871565511735837,0.0,243.529,821.259,5.923,33768.015,1600,1600,1600,52.5,27.4,0.0,12.440881729125977
110.0,11.0,28.555555555555557,28.555555555555557,3,0,1800,1800,False,63,9,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-38,1636782398,0.23954105377197266,2.2403788566589355,10614,werikcyano,192.168.1.8,2.2403788566589355,0,9,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0, 23.0, 19.0, 51.0, 13.0, 14.0, 18.0, 14.0, 48.0, 18.0, 34.0, 15.0, 17.0, 25.0, 25.0, 16.0, 31.0, 13.0, 33.0, 38.0, 45.0, 63.0, 18.0, 110.0, 59.0, 56.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67, 23, 19, 51, 13, 14, 18, 14, 48, 18, 34, 15, 17, 25, 25, 16, 31, 13, 33, 38, 45, 63, 18, 110, 59, 56]",0.08635356536700069,0.9747474681382429,0.05409250935397008,0.08713323638674172,0.0,242.584,824.458,5.7,35088.991,1800,1800,1800,,,0.0,18.30307388305664
110.0,11.0,29.073529411764707,29.073529411764707,5,0,2000,2000,False,68,10,0c55fef9eab34e71b87eb228f9ee959a,2021-11-13_02-46-38,1636782398,0.26641082763671875,2.5067896842956543,10614,werikcyano,192.168.1.8,2.5067896842956543,0,10,0d850_00000,"[21.0, 11.0, 31.0, 16.0, 25.0, 23.0, 22.0, 23.0, 29.0, 21.0, 13.0, 46.0, 19.0, 19.0, 14.0, 16.0, 43.0, 15.0, 20.0, 20.0, 19.0, 36.0, 53.0, 13.0, 33.0, 43.0, 53.0, 33.0, 39.0, 19.0, 17.0, 19.0, 25.0, 14.0, 22.0, 18.0, 13.0, 67.0, 23.0, 19.0, 51.0, 13.0, 14.0, 18.0, 14.0, 48.0, 18.0, 34.0, 15.0, 17.0, 25.0, 25.0, 16.0, 31.0, 13.0, 33.0, 38.0, 45.0, 63.0, 18.0, 110.0, 59.0, 56.0, 30.0, 24.0, 72.0, 27.0, 25.0]","[21, 11, 31, 16, 25, 23, 22, 23, 29, 21, 13, 46, 19, 19, 14, 16, 43, 15, 20, 20, 19, 36, 53, 13, 33, 43, 53, 33, 39, 19, 17, 19, 25, 14, 22, 18, 13, 67, 23, 19, 51, 13, 14, 18, 14, 48, 18, 34, 15, 17, 25, 25, 16, 31, 13, 33, 38, 45, 63, 18, 110, 59, 56, 30, 24, 72, 27, 25]",0.08620533434014321,0.9758395821891734,0.054115412932976094,0.08713212350123316,0.0,244.572,817.756,5.465,36599.831,2000,2000,2000,,,0.0,11.83166790008545
