episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/policy_loss
34.0,10.0,19.3,19.3,10,0,200,200,False,10,1,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-28-58,1636777738,0.4350864887237549,0.4350864887237549,11796,werikcyano,192.168.1.8,0.4350864887237549,0,1,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29]",0.13206847271515954,1.4627383122989783,0.07992953210327755,0.15564937496659767,0.0,371.283,538.673,63.07,3171.101,200,200,200,53.0,42.1,0.0,7.389942169189453
46.0,10.0,21.77777777777778,21.77777777777778,8,0,400,400,False,18,2,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-28-58,1636777738,0.3120861053466797,0.7471725940704346,11796,werikcyano,192.168.1.8,0.7471725940704346,0,2,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15]",0.12381966164800357,1.4179745916336488,0.07673165752729211,0.14471999797704116,0.0,339.056,589.874,33.89,5901.403,400,400,400,71.7,42.2,0.0,9.186716079711914
56.0,10.0,23.72,23.72,7,0,600,600,False,25,3,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-28-59,1636777739,0.3739645481109619,1.1211371421813965,11796,werikcyano,192.168.1.8,1.1211371421813965,0,3,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23]",0.12094035814177523,1.4172859908209035,0.07576757969870347,0.13933612409426877,0.0,348.245,574.309,24.76,8077.49,600,600,600,,,0.0,10.33833122253418
56.0,10.0,24.46875,24.46875,7,0,800,800,False,32,4,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-28-59,1636777739,0.32666850090026855,1.447805643081665,11796,werikcyano,192.168.1.8,1.447805643081665,0,4,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39]",0.11856329420614012,1.4112666455435159,0.07485455135594471,0.13567069816741512,0.0,341.159,586.237,20.125,9938.049,800,800,800,67.3,42.3,0.0,9.43913459777832
56.0,10.0,24.525,24.525,8,0,1000,1000,False,40,5,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-28-59,1636777739,0.35775041580200195,1.805556058883667,11796,werikcyano,192.168.1.8,1.805556058883667,0,5,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18]",0.11670297240470337,1.410128256716089,0.07423467701171944,0.13258644320431542,0.0,343.548,582.161,16.932,11811.846,1000,1000,1000,,,0.0,8.015094757080078
56.0,10.0,24.958333333333332,24.958333333333332,8,0,1200,1200,False,48,6,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-29-00,1636777740,0.4742720127105713,2.2798280715942383,11796,werikcyano,192.168.1.8,2.2798280715942383,0,6,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0, 24.0, 17.0, 48.0, 20.0, 23.0, 14.0, 26.0, 45.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18, 24, 17, 48, 20, 23, 14, 26, 45]",0.116035235597578,1.4246117912820468,0.07466523575138993,0.13096580145761982,0.0,364.027,549.409,15.256,13109.863,1200,1200,1200,76.0,42.3,0.0,10.003240585327148
60.0,10.0,25.85185185185185,25.85185185185185,6,0,1400,1400,False,54,7,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-29-00,1636777740,0.39236903190612793,2.672197103500366,11796,werikcyano,192.168.1.8,2.672197103500366,0,7,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0, 24.0, 17.0, 48.0, 20.0, 23.0, 14.0, 26.0, 45.0, 35.0, 60.0, 34.0, 11.0, 20.0, 38.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18, 24, 17, 48, 20, 23, 14, 26, 45, 35, 60, 34, 11, 20, 38]",0.11571631248677683,1.4341397577644213,0.07497786408523079,0.13016865540951195,0.0,367.04,544.9,13.947,14340.096,1400,1400,1400,,,0.0,11.55232048034668
60.0,10.0,25.516129032258064,25.516129032258064,8,0,1600,1600,False,62,8,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-29-01,1636777741,0.39192676544189453,3.0641238689422607,11796,werikcyano,192.168.1.8,3.0641238689422607,0,8,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0, 24.0, 17.0, 48.0, 20.0, 23.0, 14.0, 26.0, 45.0, 35.0, 60.0, 34.0, 11.0, 20.0, 38.0, 23.0, 26.0, 15.0, 21.0, 15.0, 23.0, 36.0, 27.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18, 24, 17, 48, 20, 23, 14, 26, 45, 35, 60, 34, 11, 20, 38, 23, 26, 15, 21, 15, 23, 36, 27]",0.11543138084301763,1.4455362875896836,0.07526468295029556,0.12928098512858413,0.0,369.354,541.486,12.861,15550.982,1600,1600,1600,80.6,42.4,0.0,7.631960868835449
127.0,10.0,27.196969696969695,27.196969696969695,4,0,1800,1800,False,66,9,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-29-01,1636777741,0.2776317596435547,3.3417556285858154,11796,werikcyano,192.168.1.8,3.3417556285858154,0,9,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0, 24.0, 17.0, 48.0, 20.0, 23.0, 14.0, 26.0, 45.0, 35.0, 60.0, 34.0, 11.0, 20.0, 38.0, 23.0, 26.0, 15.0, 21.0, 15.0, 23.0, 36.0, 27.0, 32.0, 11.0, 43.0, 127.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18, 24, 17, 48, 20, 23, 14, 26, 45, 35, 60, 34, 11, 20, 38, 23, 26, 15, 21, 15, 23, 36, 27, 32, 11, 43, 127]",0.11510991993622914,1.4475560113647117,0.07523614466940622,0.12870349813295645,0.0,358.664,557.625,11.87,16849.218,1800,1800,1800,,,0.0,21.753171920776367
127.0,10.0,27.02777777777778,27.02777777777778,6,0,2000,2000,False,72,10,19eb5e781f1a41c1802ba6923901e41c,2021-11-13_01-29-01,1636777741,0.27278947830200195,3.6145451068878174,11796,werikcyano,192.168.1.8,3.6145451068878174,0,10,357e8_00000,"[17.0, 13.0, 22.0, 14.0, 11.0, 15.0, 28.0, 34.0, 10.0, 29.0, 16.0, 46.0, 21.0, 35.0, 26.0, 13.0, 27.0, 15.0, 56.0, 46.0, 20.0, 29.0, 16.0, 11.0, 23.0, 35.0, 25.0, 19.0, 12.0, 16.0, 44.0, 39.0, 48.0, 38.0, 26.0, 15.0, 17.0, 20.0, 16.0, 18.0, 24.0, 17.0, 48.0, 20.0, 23.0, 14.0, 26.0, 45.0, 35.0, 60.0, 34.0, 11.0, 20.0, 38.0, 23.0, 26.0, 15.0, 21.0, 15.0, 23.0, 36.0, 27.0, 32.0, 11.0, 43.0, 127.0, 11.0, 29.0, 30.0, 22.0, 46.0, 13.0]","[17, 13, 22, 14, 11, 15, 28, 34, 10, 29, 16, 46, 21, 35, 26, 13, 27, 15, 56, 46, 20, 29, 16, 11, 23, 35, 25, 19, 12, 16, 44, 39, 48, 38, 26, 15, 17, 20, 16, 18, 24, 17, 48, 20, 23, 14, 26, 45, 35, 60, 34, 11, 20, 38, 23, 26, 15, 21, 15, 23, 36, 27, 32, 11, 43, 127, 11, 29, 30, 22, 46, 13]",0.11446868793255478,1.4469560883080033,0.07504592127290192,0.12772605329294734,0.0,349.425,572.369,11.256,17768.484,2000,2000,2000,66.8,42.3,0.0,10.857272148132324
