episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/policy_loss
35.0,10.0,17.636363636363637,17.636363636363637,11,0,200,200,False,11,1,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-28,1636784428,0.3697171211242676,0.3697171211242676,11993,werikcyano,192.168.1.8,0.3697171211242676,0,1,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17]",0.10706892060996287,1.1093616485595703,0.061079044247148044,0.09493092399331467,0.0,278.543,718.023,90.697,2205.149,200,200,200,56.5,37.1,0.0,6.793172836303711
35.0,10.0,17.857142857142858,17.857142857142858,10,0,400,400,False,21,2,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-28,1636784428,0.2803211212158203,0.6500382423400879,11993,werikcyano,192.168.1.8,0.6500382423400879,0,2,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15]",0.10544494484564366,1.1100267064414246,0.06110061377571815,0.09522995065171884,0.0,276.864,722.377,47.684,4194.241,400,400,400,,,0.0,6.9884843826293945
99.0,10.0,22.26923076923077,22.26923076923077,5,0,600,600,False,26,3,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-29,1636784429,0.3067336082458496,0.9567718505859375,11993,werikcyano,192.168.1.8,0.9567718505859375,0,3,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20]",0.1046601470104597,1.1180287072516517,0.06143308122110395,0.09576569508676766,0.0,284.965,701.84,33.477,5974.296,600,600,600,54.5,37.1,0.0,16.81879234313965
99.0,10.0,22.257142857142856,22.257142857142856,9,0,800,800,False,35,4,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-29,1636784429,0.28962230682373047,1.246394157409668,11993,werikcyano,192.168.1.8,1.246394157409668,0,4,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20]",0.10353103373579095,1.1260266230131732,0.061835301886138706,0.0965098043851635,0.0,284.225,703.669,26.779,7468.59,800,800,800,,,0.0,8.454333305358887
99.0,10.0,23.69047619047619,23.69047619047619,7,0,1000,1000,False,42,5,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-29,1636784429,0.2401895523071289,1.4865837097167969,11993,werikcyano,192.168.1.8,1.4865837097167969,0,5,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16]",0.10229317568539481,1.1233361822066321,0.061757202132614646,0.09646124535516798,0.0,274.527,728.526,22.16,9025.113,1000,1000,1000,61.6,37.1,0.0,11.046747207641602
99.0,10.0,23.53061224489796,23.53061224489796,7,0,1200,1200,False,49,6,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-30,1636784430,0.2390890121459961,1.725672721862793,11993,werikcyano,192.168.1.8,1.725672721862793,0,6,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0, 17.0, 15.0, 16.0, 18.0, 62.0, 12.0, 18.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16, 17, 15, 16, 18, 62, 12, 18]",0.10098309409978176,1.1177526515105338,0.06149095705667396,0.09609220469022624,0.0,267.93,746.465,19.061,10492.646,1200,1200,1200,,,0.0,11.2933931350708
99.0,9.0,24.803571428571427,24.803571428571427,7,0,1400,1400,False,56,7,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-30,1636784430,0.22327375411987305,1.948946475982666,11993,werikcyano,192.168.1.8,1.948946475982666,0,7,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0, 17.0, 15.0, 16.0, 18.0, 62.0, 12.0, 18.0, 64.0, 9.0, 53.0, 41.0, 14.0, 21.0, 34.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16, 17, 15, 16, 18, 62, 12, 18, 64, 9, 53, 41, 14, 21, 34]",0.09972061438309685,1.1099573046603946,0.06110547569985601,0.0955307696552222,0.0,260.855,766.708,16.958,11793.963,1400,1400,1400,,,0.0,10.456866264343262
99.0,9.0,25.174603174603174,25.174603174603174,7,0,1600,1600,False,63,8,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-30,1636784430,0.2625577449798584,2.2115042209625244,11993,werikcyano,192.168.1.8,2.2115042209625244,0,8,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0, 17.0, 15.0, 16.0, 18.0, 62.0, 12.0, 18.0, 64.0, 9.0, 53.0, 41.0, 14.0, 21.0, 34.0, 31.0, 18.0, 20.0, 20.0, 33.0, 18.0, 57.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16, 17, 15, 16, 18, 62, 12, 18, 64, 9, 53, 41, 14, 21, 34, 31, 18, 20, 20, 33, 18, 57]",0.09865826306662541,1.1038284484151735,0.06078589319540384,0.09507779540290909,0.0,260.479,767.816,15.357,13023.413,1600,1600,1600,45.5,37.1,0.0,9.823698997497559
99.0,9.0,25.7,25.7,7,0,1800,1800,False,70,9,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-30,1636784430,0.2630336284637451,2.4745378494262695,11993,werikcyano,192.168.1.8,2.4745378494262695,0,9,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0, 17.0, 15.0, 16.0, 18.0, 62.0, 12.0, 18.0, 64.0, 9.0, 53.0, 41.0, 14.0, 21.0, 34.0, 31.0, 18.0, 20.0, 20.0, 33.0, 18.0, 57.0, 17.0, 19.0, 26.0, 50.0, 53.0, 17.0, 31.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16, 17, 15, 16, 18, 62, 12, 18, 64, 9, 53, 41, 14, 21, 34, 31, 18, 20, 20, 33, 18, 57, 17, 19, 26, 50, 53, 17, 31]",0.09780407657262934,1.0988258080110984,0.06052322129814378,0.09472530253824021,0.0,260.238,768.528,14.109,14175.56,1800,1800,1800,,,0.0,11.444361686706543
99.0,9.0,27.19178082191781,27.19178082191781,3,0,2000,2000,False,73,10,1c487aa1f6fb45bc93d0ec59719bbdf1,2021-11-13_03-20-31,1636784431,0.2624232769012451,2.7369611263275146,11993,werikcyano,192.168.1.8,2.7369611263275146,0,10,c95a7_00000,"[17.0, 27.0, 12.0, 12.0, 11.0, 18.0, 19.0, 16.0, 35.0, 10.0, 17.0, 15.0, 24.0, 30.0, 19.0, 14.0, 26.0, 13.0, 13.0, 12.0, 15.0, 28.0, 28.0, 29.0, 99.0, 20.0, 28.0, 13.0, 48.0, 19.0, 15.0, 12.0, 15.0, 30.0, 20.0, 86.0, 21.0, 17.0, 19.0, 32.0, 25.0, 16.0, 17.0, 15.0, 16.0, 18.0, 62.0, 12.0, 18.0, 64.0, 9.0, 53.0, 41.0, 14.0, 21.0, 34.0, 31.0, 18.0, 20.0, 20.0, 33.0, 18.0, 57.0, 17.0, 19.0, 26.0, 50.0, 53.0, 17.0, 31.0, 26.0, 75.0, 85.0]","[17, 27, 12, 12, 11, 18, 19, 16, 35, 10, 17, 15, 24, 30, 19, 14, 26, 13, 13, 12, 15, 28, 28, 29, 99, 20, 28, 13, 48, 19, 15, 12, 15, 30, 20, 86, 21, 17, 19, 32, 25, 16, 17, 15, 16, 18, 62, 12, 18, 64, 9, 53, 41, 14, 21, 34, 31, 18, 20, 20, 33, 18, 57, 17, 19, 26, 50, 53, 17, 31, 26, 75, 85]",0.09744278715555543,1.0969693602677764,0.06042349577232346,0.09459983917455445,0.0,259.964,769.337,13.134,15227.263,2000,2000,2000,56.6,37.1,0.0,18.21083641052246
